timestamp,event,component,value
2025-09-19 12:06:48,WARNING,EC_Sensor,230.13
2025-09-19 12:06:48,WARNING,PH_Sensor,1.22
2025-09-19 12:06:48,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:06:48,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:06:55,WARNING,EC_Sensor,231.0
2025-09-19 12:06:55,WARNING,PH_Sensor,1.21
2025-09-19 12:06:55,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:06:55,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:06:58,WARNING,EC_Sensor,231.0
2025-09-19 12:06:58,WARNING,PH_Sensor,1.22
2025-09-19 12:06:58,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:06:58,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:07:08,WARNING,EC_Sensor,231.0
2025-09-19 12:07:08,WARNING,PH_Sensor,1.21
2025-09-19 12:07:08,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:07:08,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
